timestamp,raw_adc,filtered_value
16465,-451,0.00
16470,-451,0.00
16474,-451,0.00
16479,-451,0.00
16484,-451,0.00
16488,-451,0.00
16493,-451,0.00
16498,-451,0.00
16502,-451,0.00
16507,-451,0.00
16512,-451,0.00
16516,-451,0.00
16521,-451,0.00
16526,-451,0.00
16530,-451,0.00
16535,-451,0.00
16540,-451,0.00
16544,-451,0.00
16549,-451,0.00
16554,-451,0.00
16558,-451,0.00
16563,-451,0.00
16568,-451,0.00
16572,-451,0.00
16577,-451,0.00
16582,-451,0.00
16586,-451,0.00
16591,-451,0.00
16596,-451,0.00
16600,-451,0.00
16605,-451,0.00
16610,-451,0.00
16614,-451,0.00
16619,-451,0.00
16624,-451,0.00
16628,-451,0.00
16633,-451,0.00
16637,-451,0.00
16642,-451,0.00
16647,-451,0.00
16651,-451,0.00
16656,-451,0.00
16661,-451,0.00
16665,-451,0.00
16670,-451,0.00
16675,-451,0.00
16679,-451,0.00
16684,-451,0.00
16689,-451,0.00
16693,-451,0.00
16698,-451,0.00
16703,-451,0.00
16707,-451,0.00
16712,-451,0.00
16717,-451,0.00
16721,-451,0.00
16726,-451,0.00
16731,-451,0.00
16735,-451,0.00
16740,-451,0.00
16745,-451,0.00
16749,-451,0.00
16754,-451,0.00
16759,-451,0.00
16763,-451,0.00
16768,-451,0.00
16773,-451,0.00
16777,-451,0.00
16782,-451,0.00
16787,-451,0.00
16791,-451,0.00
16796,-451,0.00
16801,-451,0.00
16805,-451,0.00
16810,-451,0.00
16814,-451,0.00
16819,-451,0.00
16824,-451,0.00
16828,-451,0.00
16833,-451,0.00
16838,-451,0.00
16842,-451,0.00
16847,-451,0.00
16852,-451,0.00
16856,-451,0.00
16861,-451,0.00
16866,-451,0.00
16870,-451,0.00
16875,-451,0.00
16880,-451,0.00
16884,-451,0.00
16889,-451,0.00
16894,-451,0.00
16898,-451,0.00
16903,-451,0.00
16908,-451,0.00
16912,-451,0.00
16917,-451,0.00
16922,-451,0.00
16926,-451,0.00
16931,-451,0.00
16936,-451,0.00
16940,-451,0.00
16945,-451,0.00
16950,-451,0.00
16954,-451,0.00
16959,-451,0.00
16964,-451,0.00
16968,-451,0.00
16973,-451,0.00
16978,-451,0.00
16982,-451,0.00
16987,-451,0.00
16991,-451,0.00
16996,-451,0.00
17001,-451,0.00
17005,-451,0.00
17010,-451,0.00
17015,-451,0.00
17019,-451,0.00
17024,-451,0.00
17029,-451,0.00
17033,-451,0.00
17038,-451,0.00
17043,-451,0.00
17047,-451,0.00
17052,-451,0.00
17057,-451,0.00
17061,-451,0.00
17066,-451,0.00
17071,-451,0.00
17075,-451,0.00
17080,-451,0.00
17085,-451,0.00
17089,-451,0.00
17094,-451,0.00
17099,-451,0.00
17103,-451,0.00
17108,-451,0.00
17113,-451,0.00
17117,-451,0.00
17122,-451,0.00
17127,-451,0.00
17131,-451,0.00
17136,-451,0.00
17141,-451,0.00
17145,-451,0.00
17150,-451,0.00
17155,-451,0.00
17159,-451,0.00
17164,-451,0.00
17168,-451,0.00
17173,-451,0.00
17178,-451,0.00
17182,-451,0.00
17187,-451,0.00
17192,-451,0.00
17196,-451,0.00
17201,-451,0.00
17206,-451,0.00
17210,-451,0.00
17215,-451,0.00
17220,-451,0.00
17224,-451,0.00
17229,-451,0.00
17234,-451,0.00
17238,-451,0.00
17243,-451,0.00
17248,-451,0.00
17252,-451,0.00
17257,-451,0.00
17262,-451,0.00
17266,-451,0.00
17271,-451,0.00
17276,-451,0.00
17280,-451,0.00
17285,-451,0.00
17290,-451,0.00
17294,-451,0.00
17299,-451,0.00
17304,-451,0.00
17308,-451,0.00
17313,-451,0.00
17318,-451,0.00
17322,-451,0.00
17327,-451,0.00
17332,-451,0.00
17336,-451,0.00
17341,-451,0.00
17345,-451,0.00
17350,-451,0.00
17355,-451,0.00
17359,-451,0.00
17364,-451,0.00
17369,-451,0.00
17373,-451,0.00
17378,-451,0.00
17383,-451,0.00
17387,-451,0.00
17392,-451,0.00
17397,-451,0.00
17401,-451,0.00
17406,-451,0.00
17411,-451,0.00
17415,-451,0.00
17420,-451,0.00
17425,-451,0.00
17429,-451,0.00
17434,-451,0.00
17439,-451,0.00
17443,-451,0.00
17448,-451,0.00
17453,-451,0.00
17457,-451,0.00
17462,-451,0.00
17467,-451,0.00
17471,-451,0.00
17476,-451,0.00
17481,-451,0.00
17485,-451,0.00
17490,-451,0.00
17495,-451,0.00
17499,-451,0.00
17504,-451,0.00
17509,-451,0.00
17513,-451,0.00
17518,-451,0.00
17522,-451,0.00
17527,-451,0.00
17532,-451,0.00
17536,-451,0.00
17541,-451,0.00
17546,-451,0.00
17550,-451,0.00
17555,-451,0.00
17560,-451,0.00
17564,-451,0.00
17569,-451,0.00
17574,-451,0.00
17578,-451,0.00
17583,-451,0.00
17588,-451,0.00
17592,-451,0.00
17597,-451,0.00
17602,-451,0.00
17606,-451,0.00
17611,-451,0.00
17616,-451,0.00
17620,-451,0.00
17625,-451,0.00
17630,-451,0.00
17634,-451,0.00
17639,-451,0.00
17644,-451,0.00
17648,-451,0.00
17653,-451,0.00
17658,-451,0.00
17662,-451,0.00
17667,-451,0.00
17672,-451,0.00
17676,-451,0.00
17681,-451,0.00
17686,-451,0.00
17690,-451,0.00
17695,-451,0.00
17699,-451,0.00
17704,-451,0.00
17709,-451,0.00
17713,-451,0.00
17718,-451,0.00
17723,-451,0.00
